,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
17149,9178,"Lewis William ""Lew"" Beck, Jr.",M,26.0,183.0,75.0,United States,USA,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,Gold
17243,9225,"Elizabeth Anna ""Betty"" Becker-Pinkston (-Campbell)",F,21.0,155.0,,United States,USA,1924 Summer,1924,Summer,Paris,Diving,Diving Women's Springboard,Gold
17245,9225,"Elizabeth Anna ""Betty"" Becker-Pinkston (-Campbell)",F,25.0,155.0,,United States,USA,1928 Summer,1928,Summer,Amsterdam,Diving,Diving Women's Platform,Gold
17292,9242,William Russell Becklean,M,20.0,172.0,57.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Eights,Gold
17408,9276,ric Bdard,M,21.0,173.0,77.0,Canada,CAN,1998 Winter,1998,Winter,Nagano,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
17409,9276,ric Bdard,M,25.0,173.0,77.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
17417,9278,Myriam Bdard,F,24.0,161.0,54.0,Canada,CAN,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 7.5 kilometres Sprint,Gold
17418,9278,Myriam Bdard,F,24.0,161.0,54.0,Canada,CAN,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 15 kilometres,Gold
17443,9291,"Barbara Jane ""B. J."" Bedford (-Miller)",F,27.0,172.0,61.0,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
17522,9339,"Donald Anton Eilers ""Don"" Beer",M,21.0,195.0,88.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Eights,Gold
17560,9355,"Daniel ""Dan"" Beery",M,29.0,200.0,97.0,United States,USA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxed Eights,Gold
18159,9638,"Gregory Curtis ""Greg"" Bell",M,26.0,174.0,68.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Long Jump,Gold
18161,9639,"Florence Isabel ""Jane"" Bell (-Walker, -Doane)",F,17.0,169.0,58.0,Canada,CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
18228,9670,"Walter Jones ""Walt"" Bellamy, Jr.",M,23.0,211.0,98.0,United States,USA,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Gold
18271,9696,"Norman Dean ""Norm"" Bellingham",M,23.0,193.0,92.0,United States,USA,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
18449,9770,"Melissa Louise Belote (-Hamlin, -Ripley)",F,15.0,171.0,60.0,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 100 metres Backstroke,Gold
18450,9770,"Melissa Louise Belote (-Hamlin, -Ripley)",F,15.0,171.0,60.0,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 200 metres Backstroke,Gold
18451,9770,"Melissa Louise Belote (-Hamlin, -Ripley)",F,15.0,171.0,60.0,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
18917,10023,Charles Sumner Benedict,M,40.0,,,United States,USA,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",Gold
19148,10136,Lindsay Dianne Benko (-Mintenko),F,23.0,185.0,74.0,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
19152,10136,Lindsay Dianne Benko (-Mintenko),F,27.0,185.0,74.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
19162,10142,"James Randolph ""Jamie"" Benn",M,24.0,189.0,94.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
19175,10149,"Huelet Leo ""Joe"" Benner",M,34.0,178.0,100.0,United States,USA,1952 Summer,1952,Summer,Helsinki,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold
19187,10157,"Robert Earl ""Bob"" Bennett",M,17.0,183.0,78.0,United States,USA,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
19189,10157,"Robert Earl ""Bob"" Bennett",M,21.0,183.0,78.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
19192,10160,Brooke Marie Bennett (-Frioud),F,16.0,165.0,57.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 800 metres Freestyle,Gold
19193,10160,Brooke Marie Bennett (-Frioud),F,20.0,165.0,57.0,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 400 metres Freestyle,Gold
19194,10160,Brooke Marie Bennett (-Frioud),F,20.0,165.0,57.0,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 800 metres Freestyle,Gold
19260,10198,Joan Benoit (-Samuelson),F,27.0,157.0,46.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Marathon,Gold
19291,10216,"Robert John ""Bobby"" Benson",M,25.0,167.0,61.0,Canada,CAN,1920 Summer,1920,Summer,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
19363,10256,"William Bruce ""Bill"" Bentsen",M,42.0,180.0,75.0,United States,USA,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Three Person Keelboat,Gold
19364,10257,"Joseph ""Gunnar"" Bentz",M,20.0,196.0,84.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
19578,10337,"Richard ""Ricky"" Berens",M,20.0,188.0,93.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
19581,10337,"Richard ""Ricky"" Berens",M,24.0,188.0,93.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
19690,10389,Laura Kay Berg,F,21.0,168.0,61.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Softball,Softball Women's Softball,Gold
19691,10389,Laura Kay Berg,F,25.0,168.0,61.0,United States,USA,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Gold
19692,10389,Laura Kay Berg,F,29.0,168.0,61.0,United States,USA,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Gold
19829,10448,"Isaac ""Ike"" Berger",M,20.0,157.0,59.5,United States,USA,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Featherweight,Gold
19854,10464,"Samuel ""Sam"" Berger",M,19.0,188.0,82.0,United States,USA,1904 Summer,1904,Summer,St. Louis,Boxing,Boxing Men's Heavyweight,Gold
19878,10472,Patrice Bergeron-Cleary,M,24.0,188.0,88.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
19879,10472,Patrice Bergeron-Cleary,M,28.0,188.0,88.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
20016,10539,Eric Bergoust,M,28.0,183.0,77.0,United States,USA,1998 Winter,1998,Winter,Nagano,Freestyle Skiing,Freestyle Skiing Men's Aerials,Gold
20133,10618,"David Charles ""Dave"" Berkoff",M,21.0,175.0,70.0,United States,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
20135,10618,"David Charles ""Dave"" Berkoff",M,25.0,175.0,70.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
20203,10654,Tell Schirnding Berna,M,20.0,188.0,70.0,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,"Athletics Men's 3,000 metres, Team",Gold
20380,10751,Sylvie Bernier,F,20.0,157.0,53.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Diving,Diving Women's Springboard,Gold
20726,10937,Ryan Thomas Berube,M,22.0,180.0,68.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
20739,10944,Aldis Imants Berzins,M,27.0,188.0,79.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Gold
20937,11047,"Janice ""Jan"" Betker",F,37.0,167.0,64.0,Canada,CAN,1998 Winter,1998,Winter,Nagano,Curling,Curling Women's Curling,Gold
21113,11146,Jamie Lynn Beyerle-Gray (-Corkish),F,28.0,157.0,55.0,United States,USA,2012 Summer,2012,Summer,London,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Gold
21370,11275,Suzannah Bianco,F,23.0,165.0,52.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
21403,11296,"John Edward Biby, Jr.",M,20.0,,,Angelita,USA,1932 Summer,1932,Summer,Los Angeles,Sailing,Sailing Mixed 8 metres,Gold
21633,11424,Jerome Cousins Biffle,M,24.0,184.0,79.0,United States,USA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's Long Jump,Gold
21645,11432,Tyrell Biggs,M,23.0,195.0,99.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Super-Heavyweight,Gold
21758,11495,Simone Arianne Biles,F,19.0,143.0,47.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,Gold
21759,11495,Simone Arianne Biles,F,19.0,143.0,47.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Gold
21760,11495,Simone Arianne Biles,F,19.0,143.0,47.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,Gold
21761,11495,Simone Arianne Biles,F,19.0,143.0,47.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Horse Vault,Gold
21821,11524,Charles W. Billings,M,45.0,,,United States,USA,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Trap, Team",Gold
21847,11537,"Alexandre ""Alex"" Bilodeau",M,22.0,173.0,76.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Freestyle Skiing,Freestyle Skiing Men's Moguls,Gold
21848,11537,"Alexandre ""Alex"" Bilodeau",M,26.0,173.0,76.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Men's Moguls,Gold
22089,11642,"Matthew Nicholas ""Matt"" Biondi",M,18.0,200.0,95.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
22090,11642,"Matthew Nicholas ""Matt"" Biondi",M,22.0,200.0,95.0,United States,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 50 metres Freestyle,Gold
22091,11642,"Matthew Nicholas ""Matt"" Biondi",M,22.0,200.0,95.0,United States,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Freestyle,Gold
22093,11642,"Matthew Nicholas ""Matt"" Biondi",M,22.0,200.0,95.0,United States,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
22094,11642,"Matthew Nicholas ""Matt"" Biondi",M,22.0,200.0,95.0,United States,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
22096,11642,"Matthew Nicholas ""Matt"" Biondi",M,22.0,200.0,95.0,United States,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
22099,11642,"Matthew Nicholas ""Matt"" Biondi",M,26.0,200.0,95.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
22100,11642,"Matthew Nicholas ""Matt"" Biondi",M,26.0,200.0,95.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
22150,11668,Larry Joe Bird,M,35.0,205.0,100.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,Gold
22154,11671,"Suzanne Brigit ""Sue"" Bird",F,23.0,175.0,66.0,United States,USA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,Gold
22155,11671,"Suzanne Brigit ""Sue"" Bird",F,27.0,175.0,66.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Gold
22156,11671,"Suzanne Brigit ""Sue"" Bird",F,31.0,175.0,66.0,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Gold
22157,11671,"Suzanne Brigit ""Sue"" Bird",F,35.0,175.0,66.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Gold
22390,11790,Ralph English Bishop,M,20.0,193.0,86.0,United States,USA,1936 Summer,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,Gold
22513,11867,Dallas Denver Bixler,M,22.0,,,United States,USA,1932 Summer,1932,Summer,Los Angeles,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
22782,11982,"Kimberly A. ""Kim"" Black",F,21.0,168.0,60.0,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
22784,11983,"Lawrence Jeffery ""Larry"" Black",M,21.0,186.0,80.0,United States,USA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
22910,12048,Alana Olga Blahoski,F,23.0,170.0,57.0,United States,USA,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
22918,12054,Bonnie Kathleen Blair (-Cruikshank),F,23.0,165.0,59.0,United States,USA,1988 Winter,1988,Winter,Calgary,Speed Skating,Speed Skating Women's 500 metres,Gold
22921,12054,Bonnie Kathleen Blair (-Cruikshank),F,27.0,165.0,59.0,United States,USA,1992 Winter,1992,Winter,Albertville,Speed Skating,Speed Skating Women's 500 metres,Gold
22922,12054,Bonnie Kathleen Blair (-Cruikshank),F,27.0,165.0,59.0,United States,USA,1992 Winter,1992,Winter,Albertville,Speed Skating,"Speed Skating Women's 1,000 metres",Gold
22924,12054,Bonnie Kathleen Blair (-Cruikshank),F,29.0,165.0,59.0,United States,USA,1994 Winter,1994,Winter,Lillehammer,Speed Skating,Speed Skating Women's 500 metres,Gold
22925,12054,Bonnie Kathleen Blair (-Cruikshank),F,29.0,165.0,59.0,United States,USA,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Women's 1,000 metres",Gold
22930,12056,"James Howard ""Jim"" Blair",M,22.0,183.0,76.0,United States,USA,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
22932,12058,Lee Everett Blair,M,20.0,,,United States,USA,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",Gold
22987,12083,"Robert Bowlby ""Rob"" Blake",M,32.0,193.0,102.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
23035,12106,Joseph lie Blanchard,M,22.0,,,Winnipeg Shamrocks-1,CAN,1904 Summer,1904,Summer,St. Louis,Lacrosse,Lacrosse Men's Lacrosse,Gold
23098,12146,Harriet Claiborne Bland (-Green),F,21.0,163.0,50.0,United States,USA,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
23142,12170,Dain J. Blanton,M,28.0,190.0,92.0,United States-1,USA,2000 Summer,2000,Summer,Sydney,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold
23190,12200,"Jeffrey Carl ""Jeff"" Blatnick",M,27.0,189.0,120.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Gold
23284,12248,Ethelda Marguerite Bleibtrey (-Schlatke),F,18.0,,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Women's 100 metres Freestyle,Gold
23285,12248,Ethelda Marguerite Bleibtrey (-Schlatke),F,18.0,,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Women's 300 metres Freestyle,Gold
23286,12248,Ethelda Marguerite Bleibtrey (-Schlatke),F,18.0,,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
23297,12257,"Donald Franklin ""Don"" Blessing",M,22.0,172.0,54.0,United States,USA,1928 Summer,1928,Summer,Amsterdam,Rowing,Rowing Men's Coxed Eights,Gold
23319,12269,"Richard Adolph ""Dick"" Blick",M,20.0,195.0,87.0,United States,USA,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
23537,12377,"Douglas Morlan ""Doug"" Blubaugh",M,25.0,170.0,73.0,United States,USA,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold
24328,12755,"Philip George ""Phil"" Boggs",M,26.0,165.0,59.0,United States,USA,1976 Summer,1976,Summer,Montreal,Diving,Diving Men's Springboard,Gold
24359,12766,Wendy Lou Lansbach Boglioli,F,21.0,180.0,64.0,United States,USA,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
24597,12885,Brian Anthony Boitano,M,24.0,180.0,75.0,United States,USA,1988 Winter,1988,Winter,Calgary,Figure Skating,Figure Skating Men's Singles,Gold
24703,12941,Jeanette Bolden,F,24.0,174.0,65.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
24750,12966,John Keith Boles,M,36.0,,,United States,USA,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Running Target, Single Shot",Gold
24917,13042,"Alice Ruth ""Ruthie"" Bolton-Holifield",F,29.0,173.0,68.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Gold
24918,13042,"Alice Ruth ""Ruthie"" Bolton-Holifield",F,33.0,173.0,68.0,United States,USA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Gold
25214,13197,George Valentine Bonhag,M,24.0,179.0,60.0,United States,USA,1906 Summer,1906,Summer,Athina,Athletics,"Athletics Men's 1,500 metres Walk",Gold
25218,13197,George Valentine Bonhag,M,30.0,179.0,60.0,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,"Athletics Men's 3,000 metres, Team",Gold
25224,13200,Tessa Bonhomme,F,24.0,170.0,63.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
25438,13290,Horace Robert Bonser,M,33.0,187.0,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Trap, Team",Gold
25462,13302,"Ronald Yngve ""Ron"" Bontemps",M,25.0,188.0,79.0,United States,USA,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,Gold
25594,13369,Rachel Kristine Bootsma,F,18.0,173.0,66.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
25597,13371,"Robert Lewis ""Bob"" Boozer",M,23.0,203.0,99.0,United States,USA,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Gold
25599,13372,"Carlos Austin Boozer, Jr.",M,26.0,206.0,117.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
25624,13387,"Charles Edward ""Charley"" Borah",M,22.0,178.0,68.0,United States,USA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
25693,13419,Amanda Kathleen Borden (-Cochran),F,19.0,,,United States,USA,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Women's Team All-Around,Gold
25698,13422,"Patrick Lance ""Pat"" Borders",M,37.0,185.0,91.0,United States,USA,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Gold
26244,13682,"Vincent Joseph ""Vince"" Boryla",M,21.0,195.0,95.0,United States,USA,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,Gold
26398,13739,"Christopher Wesson ""Chris"" Bosh",M,24.0,208.0,104.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
26500,13797,Ralph Harold Boston,M,21.0,187.0,74.0,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Long Jump,Gold
26516,13802,"Catherine La Ora ""Cathy"" Boswell",F,21.0,183.0,78.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Women's Basketball,Gold
26617,13854,"Molly Ray Botkin (-Rossiter, -Trees)",F,16.0,173.0,61.0,United States,USA,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
26629,13860,"Elizabeth Anne ""Beth"" Botsford",F,15.0,165.0,49.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 100 metres Backstroke,Gold
26631,13860,"Elizabeth Anne ""Beth"" Botsford",F,15.0,165.0,49.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
26647,13870,Jennifer Lori Botterill,F,22.0,175.0,71.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
26648,13870,Jennifer Lori Botterill,F,26.0,175.0,71.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
26649,13870,Jennifer Lori Botterill,F,30.0,175.0,71.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
26670,13882,"Joseph Stuart ""Joe"" Bottom",M,21.0,194.0,87.0,United States,USA,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
26778,13935,Gatan T. Boucher,M,25.0,171.0,72.0,Canada,CAN,1984 Winter,1984,Winter,Sarajevo,Speed Skating,"Speed Skating Men's 1,000 metres",Gold
26779,13935,Gatan T. Boucher,M,25.0,171.0,72.0,Canada,CAN,1984 Winter,1984,Winter,Sarajevo,Speed Skating,"Speed Skating Men's 1,500 metres",Gold
26864,13969,David Alasdair Boudia,M,23.0,175.0,73.0,United States,USA,2012 Summer,2012,Summer,London,Diving,Diving Men's Platform,Gold
27164,14128,"Clifford Frederick ""Cliff"" Bourland",M,27.0,183.0,75.0,United States,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
27222,14153,"Richard James ""Dick"" Boushka",M,22.0,195.0,95.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Gold
